Country,City,Lat,Lng,Cloudiness,Date,Humidity,Max Temp,Wind Speed
PT,Ponta Delgada,37.7333,-25.6667,75,1619481510,82,59.0,6.91
AU,Carnarvon,-24.8667,113.6333,0,1619480988,67,62.6,6.91
ML,Araouane,18.9048,-3.5265,18,1619481067,13,89.35,9.17
ID,Balikpapan,-1.2675,116.8289,69,1619481084,88,77.7,2.24
GQ,Luba,3.4568,8.5547,20,1619481511,89,78.8,4.61
US,Laguna,38.421,-121.4238,40,1619480953,29,66.99,6.91
RU,Rzhaksa,52.1338,42.0264,53,1619481511,93,38.41,10.51
US,Bud,39.447,-86.1758,1,1619481139,35,73.4,14.97
CV,Praia,14.9215,-23.5087,75,1619481511,73,71.6,12.66
US,Kenai,60.5544,-151.2583,1,1619480948,30,59.0,9.22
VE,Ciudad Bolivar,8.1222,-63.5497,94,1619481163,44,89.37,12.3
VN,Qui Nhon,13.7667,109.2333,88,1619481512,83,80.1,3.29
US,Broome,42.2506,-75.833,1,1619481040,29,44.6,13.8
CN,Nanma,36.1817,118.1583,76,1619481513,80,60.01,3.0
NA,Walvis Bay,-22.9575,14.5053,65,1619481043,94,61.0,1.14
BI,Makamba,-4.1348,29.804,92,1619481251,91,60.13,1.03
CA,Thompson,55.7435,-97.8558,20,1619481068,49,48.2,11.5
RU,Neryungri,56.6709,124.6491,100,1619481513,99,33.89,1.72
NO,Roald,62.5833,6.1333,100,1619481514,75,35.6,12.66
US,Stephenville,32.2207,-98.2023,1,1619481514,47,78.8,12.66
AO,Soyo,-6.1349,12.3689,100,1619481514,89,79.36,6.85
DE,Vechelde,52.2604,10.3649,75,1619481515,48,39.2,6.91
NG,Hadejia,12.4498,10.0444,1,1619481515,10,86.86,7.07
CN,Nanchong,30.7951,106.0847,100,1619481515,78,65.68,2.04
US,Walker,30.7335,-95.5669,1,1619481516,50,80.6,4.61
IN,Rāzām,18.4667,83.6667,9,1619481516,84,77.16,2.55
GN,Boffa,10.1667,-14.0333,100,1619481516,73,77.92,3.11
CA,Bonnyville,54.2668,-110.735,40,1619481517,39,48.2,12.66
GB,Lerwick,60.1545,-1.1494,75,1619481517,81,44.6,13.8
NG,Wamba,8.9333,8.6,93,1619481517,77,75.34,3.91
US,Kahului,20.8947,-156.47,40,1619480859,57,80.6,5.75
GN,Labé,11.3182,-12.2833,97,1619481518,42,77.05,4.47
RU,Magistral'nyy,56.1725,107.4458,42,1619481518,66,25.93,11.81
AR,General Roca,-39.0333,-67.5833,0,1619481518,82,60.8,3.71
CD,Kisangani,0.5167,25.2,45,1619481519,97,69.1,2.15
JP,Nishihara,26.1842,127.7558,75,1619481519,68,69.8,12.66
BW,Gweta,-20.1833,25.2333,1,1619481519,26,68.0,7.58
IT,Spoleto,42.7448,12.7374,71,1619481520,52,55.0,4.61
MU,Bambous Virieux,-20.3428,57.7575,75,1619480937,94,77.0,14.97
US,‘Ewa Beach,21.3156,-158.0072,40,1619481520,57,82.4,11.5
US,Bethel,41.3712,-73.414,1,1619481019,19,59.0,9.22
BR,Paragominas,-2.9667,-47.4833,80,1619481521,95,73.36,3.09
US,State College,40.7934,-77.86,1,1619481357,20,60.8,8.05
AO,Sumbe,-11.2061,13.8437,15,1619481521,85,78.78,6.17
BR,Cidreira,-30.1811,-50.2056,32,1619481170,72,63.46,9.66
MA,Tiznit Province,29.5833,-9.5,26,1619481522,86,56.86,2.39
PK,Keti Bandar,24.1447,67.4497,0,1619481522,77,79.61,9.44
RU,Berdigestyakh,62.0989,126.6992,99,1619481145,84,25.72,9.26
PG,Samarai,-10.6167,150.6667,67,1619480927,79,81.82,8.16
PW,Kloulklubed,7.0419,134.2556,75,1619481157,89,80.6,3.44
TL,Airai,-8.9266,125.4092,52,1619481181,50,66.34,1.9
AR,Comodoro Rivadavia,-45.8667,-67.5,0,1619481152,39,66.2,14.97
MG,Sambava,-14.2667,50.1667,53,1619481523,90,74.53,8.66
BR,Corrente,-3.7367,-43.3394,78,1619481523,90,74.39,3.69
RU,Lukh,57.0124,42.2584,42,1619481524,80,32.94,3.29
BF,Dori,14.0354,-0.0345,38,1619481524,26,90.55,6.26
CN,Yuxia,34.0615,108.6291,100,1619481524,93,51.8,2.24
ID,Padang,-0.9492,100.3543,20,1619481525,94,75.2,3.44
RU,Evensk,61.95,159.2333,19,1619481525,78,20.16,1.9
CZ,Strání,48.9022,17.7067,54,1619481525,65,37.0,6.04
CN,Shache,38.4167,77.2406,0,1619481181,21,56.62,3.56
MX,Guerrero Negro,27.9769,-114.0611,100,1619480946,59,63.12,17.02
US,Pacific Grove,36.6177,-121.9166,4,1619481526,75,57.0,17.52
CA,Clyde River,70.4692,-68.5914,90,1619480887,100,24.8,2.3
AR,Morón,-34.6534,-58.6198,41,1619481205,80,63.0,2.24
RU,Ola,59.5833,151.2833,10,1619481526,75,21.85,2.98
LY,Ajdabiya,30.7554,20.2263,40,1619481496,49,65.16,6.55
NO,Notodden,59.5594,9.2585,13,1619481527,69,34.0,4.14
IT,Province of Mantua,45.1667,10.7833,100,1619481527,87,53.01,5.01
KE,Lamu,-2.2717,40.902,62,1619481246,81,80.58,10.04
RU,Okhotsk,59.3833,143.3,95,1619481528,75,25.0,3.27
IN,Margherita,27.2833,95.6833,33,1619481528,35,75.49,1.86
AU,Codrington,-38.2667,141.9667,63,1619481528,70,58.73,1.52
MX,Tecomán,18.9167,-103.8833,90,1619481529,48,84.2,13.8
SO,Bandarbeyla,9.4942,50.8122,95,1619481036,72,82.6,3.85
CL,Ancud,-41.8697,-73.8203,90,1619481529,87,57.0,4.61
GT,Champerico,14.3,-91.9167,75,1619481529,74,86.0,9.22
PG,Kavieng,-2.5744,150.7967,46,1619480838,69,84.04,2.46
NL,Gemeente Wageningen,51.9667,5.6667,20,1619481341,70,42.01,10.36
RU,Bukachacha,52.9833,116.9167,97,1619481530,71,36.14,9.4
CA,Aklavik,68.2191,-135.0107,100,1619480993,45,21.2,9.22
RU,Novyy Urgal,51.0736,132.5642,100,1619481530,29,53.11,8.57
CA,Port Hardy,50.6996,-127.4199,40,1619480714,76,55.4,6.91
SA,Najrān,17.4924,44.1277,40,1619481531,78,69.8,6.91
HN,Barra Patuca,15.8,-84.2833,40,1619481531,70,79.63,12.19
BR,Dom Pedrito,-30.9828,-54.6731,0,1619481531,81,52.93,4.59
CN,Zhangye,38.9342,100.4517,87,1619481532,20,41.74,5.44
RU,Dukat,62.55,155.55,4,1619481532,69,20.62,5.26
PT,Aljezur,37.3191,-8.8033,85,1619481015,93,58.48,5.39
RU,Myaundzha,63.0494,147.1858,99,1619481533,86,15.58,4.27
NZ,Waipawa,-41.4122,175.5153,90,1619481533,71,55.0,16.11
MX,Cabo San Lucas,22.8909,-109.9124,90,1619480937,60,78.01,16.11
BR,Porto Velho,-8.7619,-63.9039,40,1619481523,78,78.8,3.44
US,Portland,45.5234,-122.6762,75,1619480982,62,59.0,5.75
TZ,Inyonga,-6.7167,32.0667,91,1619481533,97,62.98,3.33
CN,Rongcheng,30.634,117.8517,100,1619481534,97,60.42,1.72
RU,Yarovoy,52.9273,78.58,100,1619481534,74,48.34,8.32
NA,Aranos,-24.1333,19.1167,46,1619481535,29,65.34,4.61
AU,Mount Gambier,-37.8333,140.7667,90,1619481535,77,57.2,6.91
RU,Stupino,54.9008,38.0708,40,1619481482,81,37.4,11.18
RU,Arman',59.7,150.1667,19,1619481107,69,23.97,1.45
ID,Kabanjahe,3.1001,98.4908,75,1619481535,100,77.0,2.3
CN,Weihai,37.5017,122.1136,100,1619481536,91,54.54,13.51
OM,Nizwá,22.9333,57.5333,80,1619481536,27,77.27,2.51
IT,Marsala,37.7966,12.4352,0,1619481536,59,68.0,20.71
NA,Oranjemund,-28.55,16.4333,6,1619481537,87,59.22,4.65
JP,Shimoda,34.6667,138.95,75,1619481009,67,57.2,8.05
IT,Fiumicino,41.7675,12.2291,0,1619481537,63,59.0,4.61
SD,Doka,13.5167,35.7667,84,1619481538,56,78.53,8.84
RU,Usinsk,65.9939,57.5281,100,1619481103,96,35.37,6.96
NA,Khorixas,-20.3667,14.9667,4,1619481538,57,65.66,2.89
BR,Maceió,-9.6658,-35.7353,0,1619481201,94,75.2,4.61
BE,Bilzen,50.8732,5.5184,100,1619481538,65,45.0,8.05
SA,Sakakah,29.9697,40.2064,0,1619481539,23,73.4,13.8
NZ,Dunedin,-45.8742,170.5036,55,1619481433,63,46.99,18.01
BR,Rondonópolis,-16.4708,-54.6356,49,1619481539,87,70.65,1.32
RU,Provideniya,64.3833,-173.3,0,1619481018,65,39.2,3.78
GL,Maniitsoq,65.4167,-52.9,100,1619481129,98,33.21,8.95
AO,Benguela,-12.5763,13.4055,13,1619481540,80,77.67,3.98
TZ,Musoma,-1.5,33.8,75,1619481540,94,69.8,5.91
ID,Palu,-0.8917,119.8707,34,1619481541,75,82.74,2.08
IN,Rāmpura,30.25,75.2333,0,1619481541,17,80.67,3.69
ID,Bengkulu,-3.8004,102.2655,84,1619481088,86,75.94,3.83
BR,Linhares,-19.3911,-40.0722,78,1619481541,91,73.2,2.57
AU,Esperance,-33.8667,121.9,100,1619481123,30,71.6,18.41
CN,Tongren,27.7172,109.1853,100,1619481542,94,58.66,1.48
IR,Tafresh,34.692,50.013,44,1619481542,37,60.31,4.16
PH,Dingle,10.9995,122.6711,51,1619480924,69,81.41,9.31
RU,Turukhansk,65.8167,87.9833,8,1619481542,78,25.54,10.13
US,Lompoc,34.6391,-120.4579,1,1619481177,51,60.8,17.27
GB,Waterfoot,53.6929,-2.2525,97,1619481543,64,50.0,4.92
CD,Gemena,3.25,19.7667,4,1619481543,77,73.08,2.3
CL,Coyhaique,-45.5752,-72.0662,75,1619480892,87,51.8,6.91
MX,Ocampo,21.65,-101.5,92,1619481544,22,78.6,12.91
BR,São João da Barra,-21.6403,-41.0511,19,1619481544,93,73.44,9.89
US,West Sacramento,38.5805,-121.5302,40,1619481287,29,66.99,6.91
ID,Kaili,-3.4626,120.2147,66,1619481545,79,73.22,1.05
BJ,Porto-Novo,6.4965,2.6036,20,1619481040,79,84.2,10.36
MR,Nouadhibou,20.931,-17.0347,0,1619481277,88,66.2,14.97
CR,Paraíso,9.8383,-83.8656,40,1619481545,68,80.6,13.8
AU,Ballina,-28.8667,153.5667,40,1619481546,77,68.0,9.22
RU,Talnakh,69.4865,88.3972,88,1619480981,78,13.35,9.37
IT,Bronte,37.7895,14.8342,97,1619481546,71,60.01,5.23
PF,Tiarei,-17.5333,-149.3333,40,1619481546,66,87.8,6.91
BW,Mopipi,-21.1833,24.8833,0,1619481547,27,66.2,7.23
BR,Acaraú,-2.8856,-40.12,63,1619481547,81,79.2,11.16
GB,Brae,60.3964,-1.353,75,1619480999,81,44.6,13.8
CA,Prince Rupert,54.3161,-130.3201,1,1619480735,19,57.2,4.61
PE,Pisco,-13.7,-76.2167,40,1619480910,82,66.2,9.22
RU,Muravlenko,63.7898,74.523,99,1619481548,95,32.94,9.98
CA,Haines Junction,60.7522,-137.5108,44,1619480999,26,53.6,9.22
PF,Vaitape,-16.5167,-151.75,99,1619481548,68,81.07,3.76
BR,Caucaia,-3.7361,-38.6531,20,1619481549,78,82.4,6.91
UY,Departamento de Maldonado,-34.6667,-54.9167,40,1619481091,67,62.6,13.8
MU,Grand Gaube,-20.0064,57.6608,100,1619481046,82,77.0,7.0
US,Marion,39.7684,-86.1555,1,1619481549,35,75.2,14.97
KZ,Beyneu,45.3167,55.2,19,1619481550,39,71.38,8.05
CA,Baie-Comeau,49.2168,-68.1489,90,1619481550,87,44.6,6.91
IN,Kavaratti,10.5669,72.642,5,1619481019,74,83.75,8.19
NO,Elverum,60.8819,11.5623,30,1619481550,67,33.01,3.85
US,Price,39.5994,-110.8107,90,1619481500,37,53.6,20.71
MX,Soto la Marina,23.7667,-98.2167,74,1619481551,79,81.0,14.0
PT,Vila Franca do Campo,37.7167,-25.4333,75,1619481116,82,59.0,6.91
AU,Broken Hill,-31.95,141.4333,28,1619480970,58,57.2,5.75
BR,Urucará,-2.5364,-57.76,100,1619481551,98,74.19,2.62
US,Fairbanks,64.8378,-147.7164,1,1619481080,26,57.2,13.8
TH,Amnat Charoen,15.9167,104.75,100,1619481552,87,75.11,5.7
CA,Alberton,46.8168,-64.0654,100,1619481552,81,44.6,9.22
ID,Baturaja,-4.1333,104.1667,44,1619481553,92,74.59,2.26
ZA,Barkly West,-28.5354,24.5215,89,1619481553,44,59.0,8.05
DZ,Timizart,36.8,4.2667,29,1619481553,72,56.77,4.25
GF,Cayenne,4.9333,-52.3333,75,1619481003,94,78.01,2.3
MR,Atar,20.5169,-13.0499,37,1619481554,17,80.33,4.32
IR,Ahvāz,31.3203,48.6693,76,1619481554,38,78.8,4.61
NZ,Tuatapere,-46.1333,167.6833,97,1619480906,75,46.0,11.99
RU,Beringovskiy,63.05,179.3167,69,1619481188,92,33.12,4.5
US,Nome,64.5011,-165.4064,20,1619481555,61,46.4,3.44
PT,Peniche,39.3558,-9.3811,98,1619481555,93,57.0,9.75
RU,Pyatnitskoye,50.4233,37.8273,91,1619481555,85,35.69,13.8
LK,Matara,5.9485,80.5353,77,1619481556,88,77.7,3.29
CL,Coquimbo,-29.9533,-71.3436,0,1619480979,77,59.0,5.75
US,Yarmouth,41.7057,-70.2286,1,1619481556,53,50.0,5.75
MX,Santa Rosalía,27.3167,-112.2833,8,1619481557,38,74.97,5.86
BR,Guarapari,-20.6667,-40.4975,40,1619481557,89,78.8,2.3
CV,São Filipe,14.8961,-24.4956,17,1619480811,76,71.56,9.51
RU,Chara,56.9064,118.2631,100,1619481557,83,26.02,9.91
UZ,Gazalkent,41.5581,69.7708,0,1619481558,45,62.6,6.91
KE,Garissa,-0.4536,39.6401,43,1619481558,78,79.72,12.68
UA,Semenivka,52.1783,32.5818,78,1619481558,71,31.95,6.42
GB,Newport,51.5877,-2.9984,88,1619481559,83,44.01,1.5
IN,Bārmer,25.75,71.3833,0,1619481559,34,79.74,10.6
RU,Novikovo,51.1537,37.8879,99,1619481002,83,36.7,13.49
UA,Zaozyornoye,45.1582,33.2787,7,1619481559,65,43.0,8.63
CN,Erenhot,43.6475,111.9767,85,1619481560,36,38.25,20.22
CA,Torbay,47.6666,-52.7314,90,1619481041,75,42.01,21.85
ID,Ternate,0.8,127.4,15,1619481155,72,82.62,3.15
RU,Kolosovka,56.4678,73.611,5,1619481560,54,37.94,8.1
PG,Kieta,-6.2167,155.6333,83,1619481561,64,86.36,3.02
FR,Fourmies,50.0153,4.0478,65,1619481561,73,41.0,1.01
MX,Praxédis Guerrero,31.3667,-106.0167,40,1619481561,4,84.2,23.02
US,Kailua,21.4022,-157.7394,20,1619481562,57,80.6,8.05
AU,Karratha,-20.7377,116.8463,0,1619481155,27,77.95,10.45
SE,Höganäs,56.1997,12.558,1,1619481562,75,39.0,5.75
AR,San Rafael,-34.6177,-68.3301,0,1619480882,58,64.15,8.43
GF,Grand-Santi,4.25,-54.3833,100,1619481564,99,73.87,2.46
CN,Shenjiamen,29.9576,122.298,82,1619481080,87,61.77,9.31
LK,Negombo,7.2083,79.8358,20,1619481306,94,78.8,4.61
AU,Batemans Bay,-35.7167,150.1833,2,1619481564,55,64.0,1.88
RU,Kaspiysk,42.8816,47.6392,20,1619481565,82,57.2,22.37
JP,Kamiiso,41.8167,140.65,20,1619481565,61,48.2,8.05
RU,Deputatsky,69.3,139.9,100,1619481071,90,27.37,2.46
CN,Shouguang,36.88,118.7375,65,1619481565,80,60.01,3.0
